locnumber,site,year,date,hourfromnoon,counts
13,2,1991,32,-0.083,27
13,2,1992,27,-1.783,28
13,2,1992,27,1.133,41
13,2,1992,28,1.000,35
13,2,1992,29,0.200,29
13,2,1992,30,-0.500,25
13,2,1992,32,-0.633,33
13,2,1992,34,-0.667,38
13,2,1992,35,-0.100,36
13,2,1992,37,-0.433,33
13,2,1993,24,-0.333,37
13,2,1993,25,-0.183,22
13,2,1993,26,-0.500,32
13,2,1993,27,-0.833,24
13,2,1993,28,-0.233,10
13,2,1993,34,0.617,27
13,2,1993,36,0.367,18
13,2,1994,22,0.167,36
13,2,1994,23,-0.033,41
13,2,1994,24,-0.083,42
13,2,1994,25,0.133,33
13,2,1994,38,0.350,22
13,2,1994,39,-0.050,14
13,2,1994,40,-0.050,28
13,2,1995,17,-0.300,42
13,2,1995,18,-0.183,47
13,2,1995,19,-0.717,45
13,2,1995,20,-0.417,35
13,2,1995,21,-0.550,42
13,2,1995,22,-0.183,40
13,2,1995,23,-0.800,37
13,2,1995,25,1.383,29
13,2,1996,17,-0.267,26
13,2,1996,18,-0.100,22
13,2,1996,19,-0.067,22
13,2,1996,22,-0.300,22
13,2,1996,24,-0.100,22
13,2,1997,19,-0.800,19
13,2,1997,19,0.100,22
13,2,1997,20,0.017,15
13,2,1997,21,-0.033,16
13,2,1997,23,0.300,13
13,2,1997,24,0.417,24
13,2,1997,25,-0.183,21
13,2,1997,27,-0.300,23
13,2,1998,17,-0.167,1
13,2,1998,18,-0.600,6
13,2,1998,19,-0.967,3
13,2,1998,22,1.067,4
13,2,1998,23,0.350,5
13,2,1998,25,0.117,12
13,2,1999,17,-0.267,7
13,2,1999,18,-0.533,1
13,2,1999,19,-0.433,3
13,2,1999,23,-0.750,4
13,2,1999,24,-0.433,3
13,2,1999,25,-1.000,6
13,2,1999,26,0.667,8
13,2,2000,15,-1.700,3
13,2,2000,16,-0.250,5
13,2,2000,17,-0.217,0
13,2,2000,18,-0.200,9
13,2,2000,19,-0.033,5
13,2,2000,20,-0.367,5
13,2,2001,17,0.117,7
13,2,2001,21,-0.217,33
13,2,2001,22,-0.200,24
13,2,2001,23,0.283,30
13,2,2001,24,-0.800,18
13,2,2001,25,-0.483,30
13,2,2002,14,0.733,2
13,2,2002,15,0.200,1
13,2,2002,16,0.200,0
13,2,2002,17,0.383,0
13,2,2002,18,-0.700,3
13,2,2002,19,-0.383,1
14,3,1990,28,1.167,31
14,3,1990,29,-0.017,27
14,3,1990,30,0.033,29
14,3,1990,31,-0.733,32
14,3,1990,32,-1.967,31
14,3,1990,35,-1.367,18
14,3,1990,38,0.750,40
14,3,1991,22,-0.150,42
14,3,1991,23,-0.233,35
14,3,1991,26,-0.017,15
14,3,1991,27,0.117,34
14,3,1991,28,-0.083,27
14,3,1991,29,-0.100,34
14,3,1991,30,-0.150,35
14,3,1991,31,0.233,40
14,3,1991,32,-0.033,34
14,3,1992,27,-1.700,41
14,3,1992,27,1.283,53
14,3,1992,28,1.050,42
14,3,1992,29,0.217,44
14,3,1992,30,-0.450,37
14,3,1992,32,-0.583,36
14,3,1992,34,-0.600,51
14,3,1992,35,-0.033,45
14,3,1992,37,-0.400,44
14,3,1993,24,-0.250,48
14,3,1993,25,-0.100,29
14,3,1993,26,-0.483,44
14,3,1993,27,-0.750,19
14,3,1993,28,-0.183,25
14,3,1993,34,0.667,46
14,3,1993,36,0.433,40
14,3,1994,22,0.250,59
14,3,1994,23,0.000,50
14,3,1994,24,-0.017,58
14,3,1994,38,0.483,34
14,3,1994,39,0.000,35
14,3,1994,40,0.000,49
14,3,1995,17,-0.233,36
14,3,1995,18,-0.133,29
14,3,1995,19,-0.650,25
14,3,1995,20,-0.367,25
14,3,1995,21,-0.467,23
14,3,1995,22,-0.133,25
14,3,1995,23,-0.750,19
14,3,1995,25,1.433,26
14,3,1996,17,-0.200,27
14,3,1996,18,-0.183,26
14,3,1996,19,0.033,43
14,3,1996,22,-0.233,31
14,3,1996,24,-0.050,27
14,3,1997,19,-0.750,44
14,3,1997,19,0.167,46
14,3,1997,20,0.067,45
14,3,1997,21,-0.017,51
14,3,1997,23,0.333,51
14,3,1997,24,0.467,63
14,3,1997,25,-0.133,46
14,3,1997,27,-0.217,18
14,3,1998,17,-0.133,12
14,3,1998,18,-0.567,16
14,3,1998,19,-0.917,28
14,3,1998,22,1.117,56
14,3,1998,23,0.417,46
14,3,1998,25,0.167,29
14,3,1999,17,-0.217,14
14,3,1999,18,-0.500,29
14,3,1999,19,-0.383,33
14,3,1999,23,-0.717,15
14,3,1999,24,-0.383,29
14,3,1999,25,-0.950,19
14,3,1999,26,0.750,37
14,3,2000,15,-1.650,16
14,3,2000,16,-0.183,24
14,3,2000,17,-0.167,18
14,3,2000,18,-0.150,19
14,3,2000,19,0.000,20
14,3,2000,20,-0.283,30
14,3,2001,17,0.033,45
14,3,2001,21,-0.167,5
14,3,2001,22,-0.283,4
14,3,2001,23,0.233,6
14,3,2001,25,-0.583,6
14,3,2002,14,0.783,43
14,3,2002,15,0.083,42
14,3,2002,16,0.283,37
14,3,2002,17,0.483,42
14,3,2002,18,-0.567,36
14,3,2002,19,-0.417,16
15,4,1990,28,1.217,39
15,4,1990,29,-0.150,23
15,4,1990,30,0.250,41
15,4,1990,31,-0.817,50
15,4,1990,32,-1.817,46
15,4,1990,35,-1.517,35
15,4,1991,22,-0.017,78
15,4,1991,24,0.867,65
15,4,1991,26,-0.150,50
15,4,1991,29,0.083,51
15,4,1991,30,-0.300,52
15,4,1991,31,0.383,73
15,4,1991,32,-0.183,70
15,4,1992,27,-1.867,65
15,4,1992,27,1.350,71
15,4,1992,28,1.200,43
15,4,1992,29,0.067,51
15,4,1992,30,-0.300,37
15,4,1992,32,-0.350,59
15,4,1992,35,0.133,35
15,4,1992,37,-0.533,51
15,4,1993,24,-0.117,33
15,4,1993,25,0.050,49
15,4,1993,26,-0.600,39
15,4,1993,27,-0.667,30
15,4,1993,28,-0.300,40
15,4,1993,34,0.783,48
15,4,1993,36,0.267,47
15,4,1994,22,0.100,61
15,4,1994,23,-0.167,63
15,4,1994,24,-0.167,68
15,4,1994,25,0.000,47
15,4,1994,38,0.233,36
15,4,1994,39,-0.150,23
15,4,1994,40,-0.183,28
15,4,1995,17,-0.417,44
15,4,1995,18,-0.300,28
15,4,1995,19,-0.817,23
15,4,1995,20,-0.550,31
15,4,1995,21,-0.700,16
15,4,1995,22,0.017,31
15,4,1995,23,-0.600,35
15,4,1995,25,1.267,38
15,4,1996,17,-0.367,39
15,4,1996,18,-0.017,42
15,4,1996,19,-0.133,42
15,4,1996,22,-0.400,36
15,4,1996,24,-0.217,37
15,4,1997,19,-0.933,10
15,4,1997,19,0.300,16
15,4,1997,20,-0.067,12
15,4,1997,21,0.117,14
15,4,1997,23,0.183,16
15,4,1997,24,0.633,15
15,4,1997,25,-0.267,13
15,4,1997,27,-0.417,23
15,4,1998,17,0.033,42
15,4,1998,18,-0.733,28
15,4,1998,19,-0.783,28
15,4,1998,22,0.983,39
15,4,1998,23,0.267,37
15,4,1998,25,0.050,40
15,4,1999,17,-0.433,62
15,4,1999,18,-0.683,63
15,4,1999,19,-0.533,46
15,4,1999,23,-0.600,64
15,4,1999,24,-0.267,37
15,4,1999,25,-1.117,29
15,4,1999,26,0.583,43
15,4,2000,15,-1.833,33
15,4,2000,16,-0.333,36
15,4,2000,17,-0.350,35
15,4,2000,18,0.000,30
15,4,2000,19,0.117,43
15,4,2000,20,-0.467,44
15,4,2001,17,0.317,21
15,4,2001,21,-0.067,25
15,4,2001,22,-0.400,31
15,4,2001,23,0.433,28
15,4,2001,24,-0.950,27
15,4,2001,25,-0.667,26
15,4,2002,14,0.933,25
15,4,2002,15,-0.033,35
15,4,2002,16,0.083,26
15,4,2002,17,0.300,27
15,4,2002,18,-0.783,28
15,4,2002,19,-0.217,31
16,5,1990,28,1.367,151
16,5,1990,29,-0.267,109
16,5,1990,30,0.317,98
16,5,1990,31,-0.967,104
16,5,1990,32,-1.750,122
16,5,1990,35,-1.633,110
16,5,1990,42,0.000,113
16,5,1991,22,0.117,169
16,5,1991,24,0.817,94
16,5,1991,26,-0.250,88
16,5,1991,27,0.333,92
16,5,1991,28,-0.300,95
16,5,1991,29,0.133,98
16,5,1991,30,-0.417,145
16,5,1991,31,0.450,115
16,5,1991,32,-0.233,56
16,5,1992,27,1.450,74
16,5,1992,28,1.300,59
16,5,1992,29,-0.033,56
16,5,1992,30,-0.200,51
16,5,1992,32,-0.250,63
16,5,1992,34,-0.817,37
16,5,1992,35,0.233,75
16,5,1992,37,-0.600,108
16,5,1993,24,-0.033,74
16,5,1993,26,-0.683,22
16,5,1993,27,-0.567,72
16,5,1993,28,-0.383,34
16,5,1993,36,0.150,69
16,5,1994,22,-0.050,62
16,5,1994,23,-0.283,82
16,5,1994,24,-0.300,83
16,5,1994,25,-0.117,84
16,5,1994,38,0.133,49
16,5,1994,39,-0.217,35
16,5,1994,40,-0.250,70
16,5,1995,17,-0.533,159
16,5,1995,18,-0.417,170
16,5,1995,19,-0.950,152
16,5,1995,20,-0.650,143
16,5,1995,21,-0.800,139
16,5,1995,22,0.100,148
16,5,1995,23,-0.483,125
16,5,1995,25,1.167,91
16,5,1996,17,-0.500,172
16,5,1996,18,0.167,158
16,5,1996,19,-0.267,203
16,5,1996,22,-0.517,123
16,5,1996,24,-0.333,103
16,5,1997,19,0.367,76
16,5,1997,19,-1.050,90
16,5,1997,20,-0.183,81
16,5,1997,21,0.200,79
16,5,1997,23,0.100,77
16,5,1997,24,0.717,93
16,5,1997,25,-0.367,85
16,5,1997,27,-0.517,78
16,5,1998,17,0.183,165
16,5,1998,18,-0.817,171
16,5,1998,19,-0.667,142
16,5,1998,22,0.917,128
16,5,1998,23,0.167,102
16,5,1998,25,-0.050,127
16,5,1999,17,-0.550,151
16,5,1999,18,-0.767,169
16,5,1999,19,-0.617,147
16,5,1999,23,-0.517,132
16,5,1999,24,-0.150,167
16,5,1999,25,-1.250,156
16,5,1999,26,0.433,124
16,5,2000,15,-1.917,139
16,5,2000,16,-0.417,109
16,5,2000,17,-0.417,103
16,5,2000,18,0.083,78
16,5,2000,19,0.233,95
16,5,2000,20,-0.600,141
16,5,2001,17,0.483,152
16,5,2001,21,0.067,61
16,5,2001,22,-0.483,126
16,5,2001,23,0.533,114
16,5,2001,24,-0.883,39
16,5,2001,25,-0.750,85
16,5,2002,14,1.050,144
16,5,2002,15,-0.100,162
16,5,2002,16,-0.067,184
16,5,2002,17,0.183,158
16,5,2002,18,-0.883,130
16,5,2002,19,-0.067,99
17,6,1990,28,1.517,7
17,6,1990,29,-0.333,28
17,6,1990,30,0.383,29
17,6,1990,31,-1.050,47
17,6,1990,32,-1.683,14
17,6,1990,35,-1.700,13
17,6,1990,38,1.017,24
17,6,1990,42,-0.117,24
17,6,1991,22,0.200,10
17,6,1991,24,0.717,40
17,6,1991,26,-0.350,33
17,6,1991,27,0.417,29
17,6,1991,28,-0.400,24
17,6,1991,29,0.267,29
17,6,1991,30,-0.500,15
17,6,1991,32,-0.333,19
17,6,1992,27,1.533,40
17,6,1992,27,-2.017,42
17,6,1992,28,1.367,24
17,6,1992,29,-0.133,49
17,6,1992,30,-0.100,36
17,6,1992,32,-0.167,23
17,6,1992,34,-0.900,46
17,6,1992,35,0.317,46
17,6,1992,37,-0.667,29
17,6,1993,24,0.050,28
17,6,1993,26,-0.767,12
17,6,1993,27,-0.500,20
17,6,1993,28,-0.467,19
17,6,1993,34,0.933,52
17,6,1993,36,0.050,38
17,6,1994,22,-0.117,30
17,6,1994,23,-0.367,27
17,6,1994,24,-0.367,44
17,6,1994,25,-0.150,40
17,6,1994,38,0.083,20
17,6,1994,39,-0.283,9
17,6,1994,40,-0.317,20
17,6,1995,17,-0.583,13
17,6,1995,18,-0.450,10
17,6,1995,19,-1.000,10
17,6,1995,20,-0.733,12
17,6,1995,21,-0.867,0
17,6,1995,22,0.217,5
17,6,1995,23,-0.367,11
17,6,1995,25,1.117,30
17,6,1996,17,-0.567,11
17,6,1996,18,0.217,16
17,6,1996,19,-0.300,11
17,6,1996,22,-0.583,15
17,6,1996,24,-0.367,13
17,6,1997,19,-1.100,6
17,6,1997,19,0.467,29
17,6,1997,20,-0.233,26
17,6,1997,21,0.317,29
17,6,1997,23,0.033,27
17,6,1997,24,0.800,20
17,6,1997,25,-0.417,20
17,6,1997,27,-0.567,0
17,6,1998,17,0.250,4
17,6,1998,18,-0.883,0
17,6,1998,19,-0.550,6
17,6,1998,22,0.833,20
17,6,1998,23,0.117,31
17,6,1998,25,-0.100,17
17,6,1999,17,-0.617,11
17,6,1999,18,-0.833,21
17,6,1999,19,-0.683,12
17,6,1999,23,-0.400,10
17,6,1999,24,-0.033,9
17,6,1999,25,-1.300,7
17,6,1999,26,0.383,30
17,6,2000,15,-1.983,3
17,6,2000,16,-0.467,19
17,6,2000,17,-0.483,26
17,6,2000,18,0.167,28
17,6,2000,19,0.317,17
17,6,2000,20,-0.650,14
17,6,2001,18,1.183,17
17,6,2001,22,-0.600,14
17,6,2001,23,0.617,32
17,6,2001,24,-1.100,12
17,6,2001,25,-0.850,10
17,6,2002,14,1.167,9
17,6,2002,15,-0.217,14
17,6,2002,16,-0.133,11
17,6,2002,17,0.017,8
17,6,2002,18,-1.083,4
17,6,2002,19,-0.017,6
18,7,1990,29,-0.533,45
18,7,1990,30,0.567,36
18,7,1991,22,0.417,235
18,7,1991,24,0.500,213
18,7,1991,26,-0.533,211
18,7,1991,27,0.583,54
18,7,1991,29,0.417,24
18,7,1991,30,-0.683,36
18,7,1991,31,0.683,31
18,7,1991,32,-0.533,35
18,7,1992,27,-2.183,46
18,7,1992,27,1.733,116
18,7,1992,28,1.600,92
18,7,1992,29,-0.317,100
18,7,1992,30,0.133,106
18,7,1992,32,0.050,119
18,7,1992,35,0.533,26
18,7,1992,37,-0.867,17
18,7,1993,24,0.267,207
18,7,1993,26,-0.933,213
18,7,1993,27,-0.300,54
18,7,1993,28,-0.650,69
18,7,1993,36,-0.133,47
18,7,1994,22,-0.267,108
18,7,1994,23,-0.533,107
18,7,1994,24,-0.533,104
18,7,1994,25,-0.367,60
18,7,1994,38,-0.117,29
18,7,1994,39,-0.467,29
18,7,1994,40,-0.483,47
18,7,1995,17,-0.800,170
18,7,1995,18,-0.667,174
18,7,1995,19,-1.167,71
18,7,1995,20,-0.967,71
18,7,1995,21,-1.083,69
18,7,1995,22,0.400,51
18,7,1995,25,0.850,97
18,7,1996,17,-0.800,65
18,7,1996,18,0.317,88
18,7,1996,19,-0.467,69
18,7,1996,22,-0.767,37
18,7,1996,24,-0.567,0
18,7,1997,19,-1.283,113
18,7,1997,19,0.683,117
18,7,1997,20,-0.400,119
18,7,1997,21,0.483,107
18,7,1997,23,-0.150,37
18,7,1997,25,-0.633,43
18,7,1997,27,-0.783,52
18,7,1998,17,0.417,113
18,7,1998,18,-1.067,137
18,7,1998,19,-0.400,36
18,7,1998,22,0.700,87
18,7,1998,23,-0.083,106
18,7,1998,25,-0.267,99
18,7,1999,17,-0.817,70
18,7,1999,18,-1.017,51
18,7,1999,19,-0.867,106
18,7,1999,23,-0.200,60
18,7,1999,24,0.133,87
18,7,1999,25,-1.483,85
18,7,1999,26,0.200,44
18,7,2000,15,-2.167,32
18,7,2000,16,-0.667,75
18,7,2000,17,-0.633,59
18,7,2000,18,0.333,63
18,7,2000,19,0.500,39
18,7,2000,20,-0.817,58
18,7,2001,17,0.683,19
18,7,2001,18,1.350,63
18,7,2001,21,0.200,66
18,7,2001,22,-0.967,60
18,7,2001,23,0.850,41
18,7,2001,24,-1.150,48
18,7,2001,25,-1.083,78
18,7,2002,14,1.333,100
18,7,2002,15,-0.400,130
18,7,2002,16,-0.317,139
18,7,2002,17,-0.200,81
18,7,2002,18,-1.300,114
18,7,2002,19,0.250,133
19,8,1990,29,-0.483,15
19,8,1990,30,0.517,21
19,8,1990,31,-1.150,32
19,8,1990,32,-1.567,27
19,8,1990,42,-0.433,46
19,8,1991,22,0.317,26
19,8,1991,24,0.600,17
19,8,1991,26,-0.467,0
19,8,1991,27,0.517,2
19,8,1991,28,-0.500,6
19,8,1991,29,0.333,6
19,8,1991,30,-0.417,32
19,8,1991,32,-0.433,34
19,8,1992,27,1.650,18
19,8,1992,27,-2.133,71
19,8,1992,28,1.467,62
19,8,1992,30,0.033,55
19,8,1992,32,-0.067,56
19,8,1992,34,-1.017,60
19,8,1992,35,0.433,52
19,8,1992,37,-0.817,64
19,8,1993,24,0.150,31
19,8,1993,26,-0.883,56
19,8,1993,27,-0.400,54
19,8,1993,28,-0.567,58
19,8,1993,34,1.050,22
19,8,1993,36,-0.067,66
19,8,1994,22,-0.200,20
19,8,1994,23,-0.467,16
19,8,1994,24,-0.450,13
19,8,1994,25,-0.283,26
19,8,1994,38,0.000,48
19,8,1994,39,-0.383,41
19,8,1994,40,-0.400,44
19,8,1995,17,-0.717,27
19,8,1995,18,-0.583,26
19,8,1995,19,-1.100,39
19,8,1995,20,-0.867,47
19,8,1995,21,-1.000,49
19,8,1995,22,0.300,37
19,8,1995,23,-0.233,33
19,8,1995,25,1.017,50
19,8,1996,17,-0.717,45
19,8,1996,18,0.383,36
19,8,1996,19,-0.417,10
19,8,1996,22,-0.683,41
19,8,1996,24,-0.500,14
19,8,1997,19,-1.183,13
19,8,1997,19,0.550,47
19,8,1997,20,-0.333,47
19,8,1997,21,0.383,44
19,8,1997,23,-0.067,39
19,8,1997,24,0.900,50
19,8,1997,25,-0.550,54
19,8,1997,27,-0.700,68
19,8,1998,17,0.317,13
19,8,1998,18,-1.000,12
19,8,1998,19,-0.483,21
19,8,1998,22,0.750,42
19,8,1998,23,0.017,41
19,8,1998,25,-0.167,24
19,8,1999,17,-0.733,22
19,8,1999,18,-0.917,19
19,8,1999,19,-0.767,6
19,8,1999,23,-0.283,24
19,8,1999,24,0.067,17
19,8,1999,25,-1.400,28
19,8,1999,26,0.300,44
19,8,2000,15,-2.067,32
19,8,2000,16,-0.583,29
19,8,2000,17,-0.567,21
19,8,2000,18,0.250,37
19,8,2000,19,0.417,49
19,8,2000,20,-0.733,37
19,8,2001,18,1.517,23
19,8,2001,22,-0.833,31
19,8,2001,23,0.767,30
19,8,2001,25,-0.950,43
19,8,2002,14,1.250,16
19,8,2002,15,-0.317,42
19,8,2002,16,-0.233,47
19,8,2002,17,-0.083,32
19,8,2002,18,-1.167,10
19,8,2002,19,0.117,22
20,9,1990,29,-0.717,79
20,9,1990,30,1.317,131
20,9,1990,32,-1.000,119
20,9,1990,38,1.217,95
20,9,1990,42,-0.600,96
20,9,1991,22,0.483,75
20,9,1991,24,0.383,96
20,9,1991,26,-0.617,98
20,9,1991,27,0.650,75
20,9,1991,28,-0.683,129
20,9,1991,29,0.500,152
20,9,1991,31,0.750,139
20,9,1991,32,-0.683,104
20,9,1992,27,1.800,53
20,9,1992,27,-2.267,67
20,9,1992,28,1.650,49
20,9,1992,29,-0.433,81
20,9,1992,30,0.200,73
20,9,1992,32,0.083,83
20,9,1992,34,-1.233,57
20,9,1992,35,0.617,63
20,9,1992,37,-0.967,35
20,9,1993,24,0.300,102
20,9,1993,26,-1.083,114
20,9,1993,27,-0.250,127
20,9,1993,28,-0.833,113
20,9,1993,34,1.200,108
20,9,1993,36,-0.300,121
20,9,1994,22,-0.400,106
20,9,1994,23,-0.667,76
20,9,1994,24,-0.633,114
20,9,1994,25,-0.467,117
20,9,1994,38,-0.217,57
20,9,1994,39,-0.533,42
20,9,1994,40,-0.583,49
20,9,1995,17,-0.900,88
20,9,1995,18,-0.783,90
20,9,1995,19,-1.300,80
20,9,1995,20,-1.050,86
20,9,1995,21,-1.233,45
20,9,1995,22,0.450,102
20,9,1995,23,-0.050,94
20,9,1995,25,0.767,102
20,9,1996,17,-0.900,80
20,9,1996,18,0.517,90
20,9,1996,19,-0.633,75
20,9,1996,22,-0.917,99
20,9,1996,24,-0.667,85
20,9,1997,19,0.767,57
20,9,1997,19,-1.383,84
20,9,1997,20,-0.517,50
20,9,1997,21,0.550,66
20,9,1997,23,-0.300,93
20,9,1997,24,1.100,88
20,9,1997,25,-0.700,74
20,9,1997,27,-0.850,74
20,9,1998,17,0.500,121
20,9,1998,18,-1.150,115
20,9,1998,19,-0.350,135
20,9,1998,22,1.567,134
20,9,1998,23,-0.167,118
20,9,1998,25,-0.333,147
20,9,1999,17,-0.950,86
20,9,1999,18,-1.100,134
20,9,1999,19,-0.983,107
20,9,1999,23,-0.117,132
20,9,1999,24,0.233,145
20,9,1999,25,-1.567,62
20,9,1999,26,0.100,136
20,9,2000,15,-2.267,71
20,9,2000,16,-0.767,130
20,9,2000,17,-0.750,137
20,9,2000,18,0.367,112
20,9,2000,19,0.533,161
20,9,2000,20,-0.933,155
20,9,2001,21,0.400,108
20,9,2001,22,-1.117,118
20,9,2001,23,1.017,144
20,9,2001,24,-1.300,95
20,9,2001,25,-1.233,88
20,9,2002,14,1.400,107
20,9,2002,15,-0.517,116
20,9,2002,16,-0.467,87
20,9,2002,17,-0.300,99
20,9,2002,18,-1.367,68
20,9,2002,19,0.417,74
21,10,1990,28,2.500,39
21,10,1990,29,-0.783,52
21,10,1990,30,1.483,57
21,10,1990,31,-1.383,48
21,10,1990,32,-0.833,59
21,10,1990,35,-1.933,39
21,10,1990,38,1.367,42
21,10,1990,42,-0.667,55
21,10,1991,22,0.600,32
21,10,1991,24,0.333,57
21,10,1991,26,-0.667,45
21,10,1991,27,0.783,50
21,10,1991,28,-0.750,51
21,10,1991,30,-0.800,43
21,10,1991,31,0.900,44
21,10,1991,32,-0.750,53
21,10,1992,27,1.917,52
21,10,1992,27,-2.350,54
21,10,1992,28,1.767,46
21,10,1992,29,-0.483,53
21,10,1992,30,0.317,47
21,10,1992,32,0.217,39
21,10,1992,34,-1.283,32
21,10,1992,35,0.750,31
21,10,1992,37,-1.033,28
21,10,1993,24,0.450,0
21,10,1993,26,-1.150,14
21,10,1993,27,-0.033,17
21,10,1993,28,-0.900,19
21,10,1993,34,1.333,16
21,10,1993,36,-0.350,19
21,10,1994,22,-0.467,40
21,10,1994,23,-0.717,41
21,10,1994,24,-0.717,48
21,10,1994,25,-0.567,42
21,10,1994,38,-0.267,26
21,10,1994,39,-0.583,30
21,10,1994,40,-0.667,32
21,10,1995,17,-0.967,51
21,10,1995,18,-0.850,38
21,10,1995,23,0.033,36
21,10,1995,25,0.700,25
21,10,1996,17,-0.967,37
21,10,1996,18,0.633,42
21,10,1996,19,-0.683,38
21,10,1996,22,-0.967,48
21,10,1996,23,-0.150,42
21,10,1996,24,-0.733,39
21,10,1997,19,-1.467,20
21,10,1997,19,0.867,33
21,10,1997,20,-0.567,26
21,10,1997,21,0.733,33
21,10,1997,23,-0.350,27
21,10,1997,24,1.150,3
21,10,1997,25,-0.800,20
21,10,1997,27,-0.933,21
21,10,1998,17,0.617,21
21,10,1998,18,-1.283,15
21,10,1998,19,-0.233,20
21,10,1998,22,0.517,31
21,10,1998,23,-0.233,30
21,10,1998,25,-0.383,35
21,10,1999,17,-1.017,5
21,10,1999,18,-1.200,21
21,10,1999,19,-1.033,25
21,10,1999,23,-0.017,38
21,10,1999,24,0.333,28
21,10,1999,25,-1.683,24
21,10,1999,26,0.033,36
21,10,2000,15,-2.333,31
21,10,2000,16,-0.850,56
21,10,2000,17,-0.833,42
21,10,2000,18,0.500,35
21,10,2000,19,0.667,25
21,10,2000,20,-1.000,36
21,10,2001,21,0.667,25
21,10,2001,22,-1.283,22
21,10,2001,23,1.100,38
21,10,2001,24,-1.383,17
21,10,2001,25,-1.333,44
21,10,2002,14,1.533,39
21,10,2002,15,-0.617,47
21,10,2002,16,-0.533,44
21,10,2002,17,-0.433,31
21,10,2002,18,-1.483,35
21,10,2002,19,0.533,33
23,11,1990,28,2.667,7
23,11,1990,29,-0.983,16
23,11,1990,30,1.583,18
23,11,1990,31,-1.517,11
23,11,1990,32,-0.683,13
23,11,1990,35,-2.083,1
23,11,1990,38,1.483,9
23,11,1990,42,-0.800,10
23,11,1991,22,0.783,26
23,11,1991,24,0.200,25
23,11,1991,26,-0.783,25
23,11,1991,27,0.900,26
23,11,1991,28,-0.883,18
23,11,1991,29,0.717,28
23,11,1991,30,-1.000,13
23,11,1991,31,1.033,25
23,11,1991,32,-0.883,1
23,11,1992,27,-2.450,20
23,11,1992,27,2.117,30
23,11,1992,28,1.900,28
23,11,1992,29,-0.617,19
23,11,1992,30,0.433,19
23,11,1992,32,0.350,29
23,11,1992,34,-1.417,23
23,11,1992,35,0.867,27
23,11,1992,37,-1.133,21
23,11,1993,24,0.567,24
23,11,1993,26,-1.283,11
